record_id,fs,n_samples,n_leads,channels,annotators,n_qrs_annotations,npy
sel100,250,225000,2,MLII;V5,q1c;q2c,60,data\evaluation\processed\qtdb\signals\sel100.npy
sel102,250,225000,2,V5;V2,q1c;q2c,88,data\evaluation\processed\qtdb\signals\sel102.npy
sel103,250,225000,2,MLII;V2,q1c;q2c,60,data\evaluation\processed\qtdb\signals\sel103.npy
sel104,250,225000,2,V5;V2,q1c,77,data\evaluation\processed\qtdb\signals\sel104.npy
sel114,250,225000,2,V5;MLII,q1c;q2c,100,data\evaluation\processed\qtdb\signals\sel114.npy
sel116,250,225000,2,MLII;V1,q1c;q2c,100,data\evaluation\processed\qtdb\signals\sel116.npy
sel117,250,225000,2,MLII;V2,q1c;q2c,60,data\evaluation\processed\qtdb\signals\sel117.npy
sel123,250,225000,2,MLII;V5,q1c;q2c,60,data\evaluation\processed\qtdb\signals\sel123.npy
sel14046,250,224999,2,ECG1;ECG2,q1c,31,data\evaluation\processed\qtdb\signals\sel14046.npy
sel14157,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel14157.npy
sel14172,250,224999,2,ECG1;ECG2,q1c,50,data\evaluation\processed\qtdb\signals\sel14172.npy
sel15814,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel15814.npy
sel16265,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel16265.npy
sel16272,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel16272.npy
sel16273,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel16273.npy
sel16420,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel16420.npy
sel16483,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel16483.npy
sel16539,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel16539.npy
sel16773,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel16773.npy
sel16786,250,224999,2,ECG1;ECG2,q1c,30,data\evaluation\processed\qtdb\signals\sel16786.npy
